date,year,meat_kgs
01/01/1961,1961,22.951147
01/01/1962,1962,23.581467
01/01/1963,1963,24.301382
01/01/1964,1964,24.240559
01/01/1965,1965,24.905693
01/01/1966,1966,25.487963
01/01/1967,1967,26.071453
01/01/1968,1968,26.400412
01/01/1969,1969,26.360878
01/01/1970,1970,26.655006
01/01/1971,1971,27.209867
01/01/1972,1972,27.552143
01/01/1973,1973,27.30699
01/01/1974,1974,27.801785
01/01/1975,1975,28.034637
01/01/1976,1976,28.415266
01/01/1977,1977,28.464773
01/01/1978,1978,29.08325
01/01/1979,1979,29.733261
01/01/1980,1980,30.179985
01/01/1981,1981,30.122051
01/01/1982,1982,29.870611
01/01/1983,1983,30.238503
01/01/1984,1984,30.47217
01/01/1985,1985,31.033627
01/01/1986,1986,31.330511
01/01/1987,1987,31.95972
01/01/1988,1988,32.581154
01/01/1989,1989,32.566208
01/01/1990,1990,32.918396
01/01/1991,1991,33.023388
01/01/1992,1992,33.133396
01/01/1993,1993,33.27453
01/01/1994,1994,33.826366
01/01/1995,1995,34.344246
01/01/1996,1996,34.208027
01/01/1997,1997,34.56579
01/01/1998,1998,35.457664
01/01/1999,1999,35.868923
01/01/2000,2000,36.41187
01/01/2001,2001,36.20116
01/01/2002,2002,36.870567
01/01/2003,2003,37.298885
01/01/2004,2004,37.368122
01/01/2005,2005,37.738445
01/01/2006,2006,38.40776
01/01/2007,2007,39.361614
01/01/2008,2008,39.962284
01/01/2009,2009,40.047737
01/01/2010,2010,40.911797
01/01/2011,2011,40.703148
01/01/2012,2012,40.913074
01/01/2013,2013,41.249523
01/01/2014,2014,41.43142
01/01/2015,2015,41.71374
01/01/2016,2016,41.9184
01/01/2017,2017,42.009052
01/01/2018,2018,42.605175
01/01/2019,2019,42.862507
01/01/2020,2020,41.964928
01/01/2021,2021,43.140663
01/01/2022,2022,44.12679
